Ticker,Company Name,Brokerage,Action,Current Price,Price Target,Rating
ABT,Abbott Laboratories,20250102000000,133.016,,-,Buy
MTD,Mettler-Toledo International,20250102000000,1301.695,,Analyst V. Kumar,In-Line -> Outperform
PANW,Palo Alto Networks,20241231000000,198.75,,-,Outperform -> Outperform
KIM,Kimco Realty,20241224000000,21.585,,-,In-Line -> In-Line
REG,Regency Centers,20241224000000,73.036,,Analyst S. Khanal,In-Line -> In-Line
UE,Urban Edge Properties,20241224000000,20.119,,-,In-Line -> In-Line
BRX,Brixmor Property Group,20241224000000,27.405,,Analyst S. Sakwa,In-Line -> In-Line
BBIO,BridgeBio Pharma,20241223000000,36.465,,-,Outperform -> Outperform
CNR,Canadian National Railway,20241219000000,102.725352112676,,Analyst J. Chappell,Hold -> Strong-Buy
CNI,Canadian National Railway,20241219000000,103.023,,Analyst J. Chappell,Hold -> Strong-Buy
SPRO,Spero Therapeutics,20241220000000,0.835,,Analyst G. Clark-Gartner,Outperform -> In-Line
CABA,Cabaletta Bio,20241220000000,2.125,,Analyst G. Clark-Gartner,Outperform -> Inline
KMX,CarMax,20241219000000,85.061,,-,Market Perform -> Market Perform
DOW,DOW,20241218000000,39.471,,Analyst S. Richardson,In-Line -> Outperform
EWTX,Edgewise Therapeutics,20241217000000,28.228,,Analyst C. Kasimov,Outperform -> Outperform
AKAM,Akamai Technologies,20241217000000,97.723,,-,Outperform -> Outperform
NKE,NIKE,20241216000000,76.871,,-,Outperform -> Outperform
EDIT,Editas Medicine,20241216000000,2.306,,Analyst L. Bayko,Outperform -> Outperform
BLD,TopBuild,20241216000000,321.56,,Analyst S. Kim,Outperform -> Inline
IBP,Installed Building Products,20241216000000,170.834,,Analyst S. Kim,Outperform -> Underperform
MTCH,Match Group,20241213000000,33.485,,Analyst J. Li,Outperform -> Outperform
CASY,Casey's General Stores,20241213000000,421.3,,-,Outperform -> Outperform
AVGO,Broadcom,20241213000000,225.266,,-,Outperform -> Outperform
COST,Costco Wholesale,20241212000000,1037.236,,-,Overweight -> Overweight
AS,Amer Sports,20241212000000,29.407,,-,Outperform -> Outperform
LOW,Lowe's Companies,20241212000000,245.115,,-,In-Line -> In-Line
ADC,Agree Realty,20241212000000,71.352,,-,Outperform
GEV,GE Vernova,20241211000000,355.07,,-,Outperform -> Outperform
TOL,Toll Brothers,20241211000000,115.256,,-,Outperform -> Outperform
CARM,Carisma Therapeutics,20241211000000,0.456,,Analyst L. Bayko,Outperform -> In-Line
AZO,AutoZone,20241211000000,3396.825,,-,Outperform -> Outperform
VOYA,Voya Financial,20241210000000,73.143,,-,Outperform -> Outperform
ORCL,Oracle,20241210000000,175.98,,-,Outperform -> Outperform
VEEV,Veeva Systems,20241206000000,227.606,,-,In-Line -> In-Line
COP,ConocoPhillips,20241206000000,101.406,,Analyst D. Terreson,Outperform
CMG,Chipotle Mexican Grill,20241205000000,52.698,,-,Outperform -> Outperform
PSTG,Pure Storage,20241204000000,67.264,,-,Outperform -> Outperform
AFL,Aflac,20241204000000,103.824,,-,Underperform -> Underperform
ACI,Albertsons Companies,20241203000000,20.355,,-,In-Line -> In-Line
CVNA,Carvana,20241203000000,241.664,,-,In-Line -> In-Line
DG,Dollar General,20241203000000,75.002,,-,In-Line -> In-Line
DLTR,Dollar Tree,20241203000000,76.205,,-,In-Line -> In-Line
KMX,CarMax,20241203000000,85.061,,-,In-Line -> In-Line
ORLY,O'Reilly Automotive,20241203000000,1306.41,,-,Outperform -> Outperform
SFM,Sprouts Farmers Market,20241203000000,171.36,,Analyst G. Melich,Outperform -> Outperform
WMT,Walmart,20241203000000,97.252,,-,Outperform -> Outperform
LULU,Lululemon Athletica,20241202000000,363.652,,-,Outperform -> Outperform
MRVL,Marvell Technology,20241202000000,108.506,,-,Outperform -> Outperform
NFLX,Netflix,20241202000000,1021.885,,-,Outperform -> Outperform
NVCR,NovoCure,20241202000000,21.65,,Analyst V. Kumar,In-Line -> Outperform
BURL,Burlington Stores,20241127000000,240.315,,-,Outperform -> Outperform
JWN,Nordstrom,20241127000000,24.335,,-,In-Line -> In-Line
FL,Foot Locker,20241126000000,18.465,,-,Outperform -> Outperform
ZM,Zoom Video Communications,20241126000000,83.051,,Analyst P. Levine,In-Line -> Outperform
WIX,Wix.com,20241121000000,206.305,,Analyst R. Coolbrith,Strong-Buy
CRWD,CrowdStrike,20241125000000,431.783,,-,Outperform -> Outperform
MMC,Marsh & McLennan Companies,20241125000000,230.154,,-,Outperform
CMCSA,Comcast,20241121000000,36.295,,Analyst K. Maral,Strong-Buy
GAP,GAP,20241122000000,22.495,,-,Outperform -> Outperform
ROST,Ross Stores,20241122000000,138.267,,-,Outperform -> Outperform
EWTX,Edgewise Therapeutics,20241122000000,28.228,,Analyst C. Kasimov,Outperform
LTH,Life Time Group,20241122000000,32.945,,Analyst J. Wong,Outperform
TGT,Target,20241121000000,128.481,,-,In-Line -> In-Line
TJX,TJX Companies,20241121000000,122.815,,-,Outperform -> Outperform
TTD,Trade Desk,20241121000000,74.557,,Analyst M. Mahaney,Outperform -> Outperform
WSM,Williams-Sonoma,20241121000000,209.791,,-,In-Line -> In-Line
SNOW,Snowflake,20241121000000,182.81,,-,Outperform -> Outperform
ARGX,argenx,20241121000000,645.712,,-,Outperform -> Outperform
NVDA,NVIDIA,20241121000000,139.574,,-,Outperform -> Outperform
DELL,Dell Technologies,20241120000000,119.449,,-,Outperform -> Outperform
AS,Amer Sports,20241120000000,29.407,,-,Outperform -> Outperform
BRBR,BellRing Brands,20241120000000,73.765,,-,Outperform -> Outperform
LOW,Lowe's Companies,20241120000000,245.115,,-,In-Line -> In-Line
AAP,Advance Auto Parts,20241120000000,44.288,,-,In-Line -> Hold
